timestamp,turbine_id,wind_speed,power_kw,availability
2026-03-01 00:00:00,T01,7.11,198.3,1.0
2026-03-01 00:00:00,T02,5.42,25.6,1.0
2026-03-01 00:00:00,T03,8.31,393.2,1.0
2026-03-01 00:00:00,T04,4.82,11.3,1.0
2026-03-01 00:00:00,T05,4.24,27.3,1.0
2026-03-01 01:00:00,T01,5.01,0.0,1.0
2026-03-01 01:00:00,T02,6.23,69.1,1.0
2026-03-01 01:00:00,T03,5.41,41.0,1.0
2026-03-01 01:00:00,T04,4.46,0.0,1.0
2026-03-01 01:00:00,T05,8.12,410.7,1.0
2026-03-01 02:00:00,T01,5.78,77.8,1.0
2026-03-01 02:00:00,T02,4.12,36.4,1.0
2026-03-01 02:00:00,T03,5.98,35.6,1.0
2026-03-01 02:00:00,T04,5.4,29.2,1.0
2026-03-01 02:00:00,T05,5.94,55.3,1.0
2026-03-01 03:00:00,T01,7.94,353.4,1.0
2026-03-01 03:00:00,T02,4.44,24.1,1.0
2026-03-01 03:00:00,T03,7.97,340.4,1.0
2026-03-01 03:00:00,T04,7.95,375.2,1.0
2026-03-01 03:00:00,T05,7.59,219.5,1.0
2026-03-01 04:00:00,T01,2.31,0.0,1.0
2026-03-01 04:00:00,T02,2.35,15.1,1.0
2026-03-01 04:00:00,T03,9.02,575.3,1.0
2026-03-01 04:00:00,T04,6.53,137.5,1.0
2026-03-01 04:00:00,T05,4.64,24.7,1.0
2026-03-01 05:00:00,T01,4.53,0.0,1.0
2026-03-01 05:00:00,T02,9.49,780.2,1.0
2026-03-01 05:00:00,T03,10.28,1047.1,1.0
2026-03-01 05:00:00,T04,6.64,118.4,1.0
2026-03-01 05:00:00,T05,4.51,1.1,1.0
2026-03-01 06:00:00,T01,6.68,139.5,1.0
2026-03-01 06:00:00,T02,8.15,445.2,1.0
2026-03-01 06:00:00,T03,7.24,235.7,1.0
2026-03-01 06:00:00,T04,8.57,473.4,1.0
2026-03-01 06:00:00,T05,8.21,384.0,1.0
2026-03-01 07:00:00,T01,8.26,391.7,1.0
2026-03-01 07:00:00,T02,7.69,240.8,1.0
2026-03-01 07:00:00,T03,7.19,213.4,1.0
2026-03-01 07:00:00,T04,9.04,605.1,1.0
2026-03-01 07:00:00,T05,6.67,149.4,1.0
2026-03-01 08:00:00,T01,9.0,591.7,1.0
2026-03-01 08:00:00,T02,6.1,63.2,1.0
2026-03-01 08:00:00,T03,7.5,264.9,1.0
2026-03-01 08:00:00,T04,5.6,28.7,1.0
2026-03-01 08:00:00,T05,7.73,279.1,1.0
2026-03-01 09:00:00,T01,5.95,49.3,1.0
2026-03-01 09:00:00,T02,9.63,782.5,1.0
2026-03-01 09:00:00,T03,8.22,346.0,1.0
2026-03-01 09:00:00,T04,8.77,508.9,1.0
2026-03-01 09:00:00,T05,8.76,518.2,1.0
2026-03-01 10:00:00,T01,9.25,691.2,1.0
2026-03-01 10:00:00,T02,10.4,1088.8,1.0
2026-03-01 10:00:00,T03,9.98,980.0,1.0
2026-03-01 10:00:00,T04,8.83,567.7,1.0
2026-03-01 10:00:00,T05,11.97,1976.6,1.0
2026-03-01 11:00:00,T01,10.45,1153.3,1.0
2026-03-01 11:00:00,T02,9.78,829.9,1.0
2026-03-01 11:00:00,T03,9.48,716.3,1.0
2026-03-01 11:00:00,T04,7.5,239.9,1.0
2026-03-01 11:00:00,T05,7.77,334.4,1.0
2026-03-01 12:00:00,T01,9.13,633.8,1.0
2026-03-01 12:00:00,T02,7.93,321.3,1.0
2026-03-01 12:00:00,T03,7.57,299.5,1.0
2026-03-01 12:00:00,T04,7.73,262.9,1.0
2026-03-01 12:00:00,T05,7.11,190.8,1.0
2026-03-01 13:00:00,T01,10.8,1330.6,1.0
2026-03-01 13:00:00,T02,8.65,464.6,1.0
2026-03-01 13:00:00,T03,8.16,402.3,1.0
2026-03-01 13:00:00,T04,8.78,527.6,1.0
2026-03-01 13:00:00,T05,8.76,492.8,1.0
