timestamp,actual_power_kw,persistence_prediction,gradient_boosting_prediction,fold
2026-05-02 00:00:00,669.2,1254.4,814.0740821500117,1
2026-05-02 01:00:00,1181.8,658.5,755.1596311155968,1
2026-05-02 02:00:00,1860.2,159.0,777.7853687722144,1
2026-05-02 03:00:00,410.29999999999995,706.8,1174.44801919611,1
2026-05-02 04:00:00,971.4,3794.0,2522.8002494303682,1
2026-05-02 05:00:00,1607.5,930.5999999999999,1898.2078432286212,1
2026-05-02 06:00:00,642.0,605.6,2271.464289747207,1
2026-05-02 07:00:00,1288.5,1890.6,2061.787923299356,1
2026-05-02 08:00:00,3043.4,1423.9,2221.1688975239817,1
2026-05-02 09:00:00,4142.3,1662.1,2290.081201754594,1
2026-05-02 10:00:00,2893.2,3287.2,2839.3948571202127,1
2026-05-02 11:00:00,2677.0,2012.6,3015.2916254771217,1
2026-05-02 12:00:00,1797.7,3283.2,3212.969061795244,1
2026-05-02 13:00:00,923.0999999999999,1752.1,2693.0795956836573,1
2026-05-02 14:00:00,2432.3,2172.9,2685.372594720439,1
2026-05-02 15:00:00,1197.3,2701.5,2956.3326136267424,1
2026-05-02 16:00:00,1419.1000000000001,2620.6,1801.6501395216007,1
2026-05-02 17:00:00,1125.9,812.0,2453.948621928524,1
2026-05-02 18:00:00,1044.8,1898.8,1878.7176837304341,1
2026-05-02 19:00:00,556.4,663.4,1128.7097859164303,1
2026-05-02 20:00:00,1186.8,1008.7,1012.5890587756274,1
2026-05-02 21:00:00,528.0,321.5,876.6608308570602,1
2026-05-02 22:00:00,367.9,726.8,1072.361698848223,1
2026-05-02 23:00:00,643.0,397.1,759.3912396502501,1
2026-05-03 00:00:00,298.79999999999995,669.2,805.331238606163,1
2026-05-03 01:00:00,553.6,1181.8,911.6764304013889,1
2026-05-03 02:00:00,315.4,1860.2,932.6178404377172,1
2026-05-03 03:00:00,367.5,410.29999999999995,730.3546280114033,1
2026-05-03 04:00:00,1338.1,971.4,1491.7999244557893,1
2026-05-03 05:00:00,1097.1000000000001,1607.5,1315.6826021485701,1
2026-05-03 06:00:00,391.7,642.0,1463.0685505720749,1
2026-05-03 07:00:00,2186.8,1288.5,2085.232684659735,1
2026-05-03 08:00:00,2980.4,3043.4,2930.102549880196,1
2026-05-03 09:00:00,2326.7,4142.3,3512.7946125672206,1
2026-05-03 10:00:00,5251.8,2893.2,3994.765656616014,1
2026-05-03 11:00:00,2745.9,2677.0,2890.9837553308885,1
2026-05-03 12:00:00,2044.1000000000001,1797.7,3088.2656897151755,1
2026-05-03 13:00:00,1810.1,923.0999999999999,2672.4527315463647,1
2026-05-03 14:00:00,5978.3,2432.3,2865.350623482864,1
2026-05-03 15:00:00,1417.1,1197.3,2809.5179484373634,1
2026-05-03 16:00:00,949.7,1419.1000000000001,1776.2295815162515,1
2026-05-03 17:00:00,3522.2,1125.9,1897.1492133839572,1
2026-05-03 18:00:00,1575.3,1044.8,1753.9257931913414,1
2026-05-03 19:00:00,986.7,556.4,1365.797205400368,1
2026-05-03 20:00:00,769.2,1186.8,1120.3508152595493,1
2026-05-03 21:00:00,147.4,528.0,975.2591907560944,1
2026-05-03 22:00:00,1430.3,367.9,1086.1931413915868,1
2026-05-03 23:00:00,107.5,643.0,878.0722130359488,1
2026-05-04 00:00:00,626.8,298.79999999999995,771.1593920809723,1
2026-05-04 01:00:00,278.0,553.6,862.8019181887554,1
2026-05-04 02:00:00,944.3,315.4,995.1656151064001,1
2026-05-04 03:00:00,1358.8000000000002,367.5,908.0549325370243,1
2026-05-04 04:00:00,1175.5,1338.1,1148.489526085551,1
2026-05-04 05:00:00,1778.3,1097.1000000000001,1200.549001858047,1
2026-05-04 06:00:00,1292.6,391.7,1624.0143589187278,1
2026-05-04 07:00:00,1556.6,2186.8,1783.0414321107844,1
2026-05-04 08:00:00,2662.8,2980.4,1823.4747279578075,1
2026-05-04 09:00:00,2549.2000000000003,2326.7,2430.301271113531,1
2026-05-04 10:00:00,3730.0,5251.8,2864.8730365858546,1
2026-05-04 11:00:00,5461.9,2745.9,3112.1996702748224,1
2026-05-04 12:00:00,4009.0,2044.1000000000001,2986.462351880486,1
2026-05-04 13:00:00,2951.5,1810.1,2984.152330157312,1
2026-05-04 14:00:00,1890.6000000000001,5978.3,3022.1748432814375,1
2026-05-04 15:00:00,3678.0,1417.1,2431.2283061615663,1
2026-05-04 16:00:00,754.9,949.7,2406.466535851153,1
2026-05-04 17:00:00,1568.4999999999998,3522.2,2188.327372200906,1
2026-05-04 18:00:00,789.1,1575.3,1438.1622813008464,1
2026-05-04 19:00:00,2149.2999999999997,986.7,1262.7170434672212,1
2026-05-04 20:00:00,182.9,769.2,1147.6890232106457,1
2026-05-04 21:00:00,198.8,147.4,915.0894122526257,1
2026-05-04 22:00:00,516.2,1430.3,994.0278698008595,1
2026-05-04 23:00:00,160.7,107.5,865.7768774297866,1
2026-05-05 00:00:00,530.0,626.8,785.1721184029329,1
2026-05-05 01:00:00,1187.7,278.0,710.7179520152904,1
2026-05-05 02:00:00,156.5,944.3,778.663416257941,1
2026-05-05 03:00:00,652.5,1358.8000000000002,957.7814865294857,1
2026-05-05 04:00:00,382.7,1175.5,1159.3553953116407,1
2026-05-05 05:00:00,1966.3000000000002,1778.3,1395.5638003125878,1
2026-05-05 06:00:00,3070.2,1292.6,1891.5685317914272,1
2026-05-05 07:00:00,728.8,1556.6,2175.896937636261,1
2026-05-05 08:00:00,2369.2,2662.8,1841.1191109525894,1
2026-05-05 09:00:00,1960.5,2549.2000000000003,2620.0860666407843,1
2026-05-05 10:00:00,2066.2000000000003,3730.0,2747.851816895027,1
2026-05-05 11:00:00,2415.2,5461.9,3211.4877263653934,1
2026-05-05 12:00:00,4234.4,4009.0,2917.41136749541,1
2026-05-05 13:00:00,2662.6,2951.5,2738.518482327767,1
2026-05-05 14:00:00,3230.5,1890.6000000000001,3007.8729515741006,1
2026-05-05 15:00:00,1799.5,3678.0,2864.16953578604,1
2026-05-05 16:00:00,3305.1,754.9,2287.0231372142744,1
2026-05-05 17:00:00,1547.9,1568.4999999999998,2045.3399234165713,1
2026-05-05 18:00:00,687.0,789.1,1240.096448654266,1
2026-05-05 19:00:00,882.8,2149.2999999999997,1331.429365680823,1
2026-05-05 20:00:00,1099.8,182.9,1181.3753595454432,1
2026-05-05 21:00:00,260.0,198.8,1421.1725728678648,1
2026-05-05 22:00:00,638.2,516.2,1178.8301707441601,1
2026-05-05 23:00:00,555.7,160.7,1169.6871146839621,1
2026-05-06 00:00:00,305.0,530.0,781.075115503367,1
2026-05-06 01:00:00,33.6,1187.7,814.0740821500117,1
2026-05-06 02:00:00,1685.6000000000001,156.5,730.3546280114033,1
